date,Tipo,Volume,Price,SL,TP,Saldo,Price Vol,Scaled Price Return,Retorno,Dummy,Open,High,Low,Close,Tick,Vol,Returns,Scaled Returns,Proba Returns,Candle Size,MM20,MM10,MM5,MM2
2019-04-02 15:30:14,buy,38,95640,96035,93135,1093457,0.0059,0.275539878,862,1,95550.0,95570.0,95545.0,95565.0,141,710,0.0,-0.04387610657508834,0.39932646970460567,25.0,12.0,11.5,12.0,10.0
2019-04-02 15:53:14,sell,38,95315,95340,98240,1091047,-0.0034,-0.209129445,-2410,0,95465.0,95465.0,95460.0,95465.0,32,108,-0.001046408203840318,-0.04387610657508834,0.39932646970460567,5.0,12.0,11.5,12.0,15.0
2019-04-03 14:43:08,sell,38,96075,96075,98975,1088827,0.008,0.380916673,-2220,0,96315.0,96320.0,96305.0,96310.0,331,1016,0.008851411512072487,-0.04387610657508834,0.39932646970460567,15.0,12.0,11.5,12.0,10.0
2019-04-03 16:57:00,buy,9,94665,96035,93135,1090753,-0.0147,-0.794306134,1926,1,94660.0,94670.0,94660.0,94670.0,31,65,-0.017028345966150972,-0.04387610657508834,0.39932646970460567,10.0,12.0,11.5,12.0,12.5
2019-04-03 17:00:01,buy,9,94670,96035,93135,1092670,0.0001,-0.030068077,1917,1,94670.0,94675.0,94660.0,94670.0,151,330,0.0,-0.04387610657508834,0.39932646970460567,15.0,12.0,11.5,14.0,12.5
2019-04-05 16:57:00,sell,19,97200,96870,99770,1092824,0.0267,1.353844692,154,1,97200.0,97200.0,97195.0,97195.0,20,47,0.026671596070560896,-0.04387610657508834,0.39932646970460567,5.0,12.0,11.5,10.0,10.0
2019-04-05 17:00:01,sell,19,97240,96870,99770,1093130,0.0004,-0.01145591,306,1,97240.0,97240.0,97235.0,97235.0,19,67,0.00041154380369360564,-0.04387610657508834,0.39932646970460567,5.0,12.0,11.5,10.0,5.0
2019-04-09 12:08:21,sell,38,96270,96275,99175,1090912,-0.01,-0.550399435,-2218,0,96390.0,96390.0,96385.0,96390.0,4,15,-0.008690286419499151,-0.04387610657508834,0.39932646970460567,5.0,12.0,11.5,8.0,5.0
2019-04-09 15:28:02,buy,38,96215,96210,93310,1088674,-0.0006,-0.06245228,-2238,0,96195.0,96195.0,96190.0,96190.0,100,330,-0.0020749040356883492,-0.04387610657508834,0.39932646970460567,5.0,12.0,11.5,7.0,5.0
2019-04-10 16:57:00,buy,19,95955,96730,93830,1090539,-0.0027,-0.173022302,1865,1,95950.0,95955.0,95945.0,95955.0,96,483,-0.002443081401393076,-0.04387610657508834,0.39932646970460567,10.0,12.0,10.0,6.0,7.5
2019-04-10 17:00:01,buy,19,96005,96730,93830,1092214,0.0005,-0.005771416,1675,1,95995.0,96005.0,95995.0,96005.0,44,164,0.0005210775884529206,-0.04387610657508834,0.39932646970460567,10.0,12.0,8.5,7.0,10.0
2019-04-16 16:57:00,sell,19,94320,93045,95945,1095949,-0.0176,-0.943488667,3735,1,94320.0,94325.0,94320.0,94325.0,9,12,-0.017499088589135983,-0.04387610657508834,0.39932646970460567,5.0,12.0,8.5,7.0,7.5
2019-04-16 17:00:01,sell,19,94240,93045,95945,1099380,-0.0008,-0.076818095,3431,1,94225.0,94240.0,94210.0,94235.0,181,526,-0.0009541478929234031,-0.04387610657508834,0.39932646970460567,30.0,12.0,10.0,12.0,17.5
2019-04-18 16:57:00,sell,9,95210,94315,97215,1100451,0.0103,0.501258934,1071,1,95210.0,95225.0,95210.0,95215.0,54,178,0.010399533082188146,-0.04387610657508834,0.39932646970460567,15.0,12.0,10.5,14.0,22.5
2019-04-18 17:00:01,sell,9,95205,94315,97215,1101513,-0.0001,-0.035533522,1062,1,95190.0,95210.0,95190.0,95205.0,79,236,-0.00010502546867615396,-0.04387610657508834,0.39932646970460567,20.0,12.0,11.0,16.0,17.5
2019-04-23 16:57:00,sell,19,96515,96055,98955,1102161,0.0138,0.681147105,648,1,96515.0,96520.0,96515.0,96520.0,48,289,0.013812299774171524,-0.04387610657508834,0.39932646970460567,5.0,12.0,11.0,15.0,12.5
2019-04-23 17:00:01,sell,19,96605,96055,98955,1103151,0.0009,0.015575989,990,1,96610.0,96615.0,96605.0,96610.0,44,97,0.0009324492333195193,-0.04387610657508834,0.39932646970460567,10.0,12.0,11.5,16.0,7.5
2019-04-29 13:52:15,buy,38,97150,97145,94245,1100953,0.0056,0.259914226,-2198,0,97145.0,97155.0,97145.0,97155.0,136,425,0.005641237967084153,-0.04387610657508834,0.39932646970460567,10.0,12.0,12.0,12.0,10.0
2019-04-29 16:40:16,buy,38,97075,97070,94170,1098715,-0.0008,-0.072865625,-2238,0,97070.0,97075.0,97070.0,97070.0,30,199,-0.0008748906386701663,-0.04387610657508834,0.39932646970460567,5.0,12.0,12.0,10.0,7.5
2019-04-30 16:55:32,buy,38,97170,97165,94265,1096477,0.001,0.0179694,-2238,0,97170.0,97180.0,97170.0,97170.0,72,299,0.0010301844030081385,-0.04387610657508834,0.39932646970460567,10.0,11.0,12.0,8.0,7.5
2019-05-02 11:25:21,sell,38,96165,96165,99065,1094257,-0.0103,-0.569461711,-2220,0,96245.0,96260.0,96245.0,96250.0,50,244,-0.00946794278069363,-0.04387610657508834,0.39932646970460567,15.0,10.5,12.5,10.0,12.5
2019-05-02 14:12:21,buy,38,96305,96300,93400,1092059,0.0015,0.042730274,-2198,0,96230.0,96235.0,96225.0,96235.0,14,62,-0.00015584415584415584,-0.04387610657508834,0.39932646970460567,10.0,10.75,13.0,10.0,12.5
2019-05-02 16:57:00,buy,19,96210,96500,93600,1092061,-0.001,-0.083992679,2,1,96205.0,96210.0,96205.0,96205.0,12,33,-0.00031173689406141216,-0.04387610657508834,0.39932646970460567,5.0,10.25,10.5,9.0,7.5
2019-05-02 17:00:01,buy,19,96170,96500,93600,1092215,-0.0004,-0.054381097,154,1,96175.0,96185.0,96175.0,96175.0,43,196,-0.0003118341042565355,-0.04387610657508834,0.39932646970460567,10.0,10.25,10.0,10.0,7.5
2019-05-06 16:57:00,sell,19,95530,95250,98150,1092169,-0.0067,-0.378111455,-46,0,95530.0,95530.0,95525.0,95525.0,8,13,-0.006758513127112035,-0.04387610657508834,0.39932646970460567,5.0,9.75,8.5,9.0,7.5
2019-05-06 17:00:01,sell,19,95535,95250,98150,1092142,0.0001,-0.030092892,-27,0,95545.0,95560.0,95545.0,95545.0,125,540,0.0002093692750588851,-0.04387610657508834,0.39932646970460567,15.0,10.25,9.5,9.0,10.0
2019-05-08 16:57:00,sell,19,96220,96015,98915,1091811,0.0072,0.339229801,-331,0,96220.0,96225.0,96215.0,96215.0,13,20,0.00701240253283793,-0.04387610657508834,0.39932646970460567,10.0,10.5,9.5,9.0,12.5
2019-05-08 17:00:01,sell,19,96215,96015,98915,1091461,-0.0001,-0.03550492,-350,0,96215.0,96230.0,96210.0,96225.0,148,523,0.00010393389804084603,-0.04387610657508834,0.39932646970460567,20.0,11.25,10.5,12.0,15.0
2019-05-15 11:36:02,sell,38,91280,91290,94190,1089225,-0.0513,-2.694171734,-2236,0,91285.0,91295.0,91275.0,91275.0,288,881,-0.05144193296960249,-0.04387610657508834,0.39932646970460567,20.0,12.0,12.0,14.0,20.0
2019-05-15 14:51:16,buy,38,91925,91920,89020,1087007,0.0071,0.33383473,-2218,0,91880.0,91885.0,91880.0,91880.0,11,20,0.006628321007943029,-0.04387610657508834,0.39932646970460567,5.0,11.75,11.5,14.0,12.5
