date,Tipo,Volume,Price,Retorno,Saldo,Dummy,Open,High,Low,Close,Tick,Vol
2019-04-02 15:30:14,buy,38,95640,862,1093457,1,95550.0,95570.0,95545.0,95565.0,141,710
2019-04-02 15:53:14,sell,38,95315,-2410,1091047,0,95465.0,95465.0,95460.0,95465.0,32,108
2019-04-03 14:43:08,sell,38,96075,-2220,1088827,0,96315.0,96320.0,96305.0,96310.0,331,1016
2019-04-03 16:57:00,buy,9,94665,1926,1090753,1,94660.0,94670.0,94660.0,94670.0,31,65
2019-04-03 17:00:01,buy,9,94670,1917,1092670,1,94670.0,94675.0,94660.0,94670.0,151,330
2019-04-05 16:57:00,sell,19,97200,154,1092824,1,97200.0,97200.0,97195.0,97195.0,20,47
2019-04-05 17:00:01,sell,19,97240,306,1093130,1,97240.0,97240.0,97235.0,97235.0,19,67
2019-04-09 12:08:21,sell,38,96270,-2218,1090912,0,96390.0,96390.0,96385.0,96390.0,4,15
2019-04-09 15:28:02,buy,38,96215,-2238,1088674,0,96195.0,96195.0,96190.0,96190.0,100,330
2019-04-10 16:57:00,buy,19,95955,1865,1090539,1,95950.0,95955.0,95945.0,95955.0,96,483
2019-04-10 17:00:01,buy,19,96005,1675,1092214,1,95995.0,96005.0,95995.0,96005.0,44,164
2019-04-16 16:57:00,sell,19,94320,3735,1095949,1,94320.0,94325.0,94320.0,94325.0,9,12
2019-04-16 17:00:01,sell,19,94240,3431,1099380,1,94225.0,94240.0,94210.0,94235.0,181,526
2019-04-18 16:57:00,sell,9,95210,1071,1100451,1,95210.0,95225.0,95210.0,95215.0,54,178
2019-04-18 17:00:01,sell,9,95205,1062,1101513,1,95190.0,95210.0,95190.0,95205.0,79,236
2019-04-23 16:57:00,sell,19,96515,648,1102161,1,96515.0,96520.0,96515.0,96520.0,48,289
2019-04-23 17:00:01,sell,19,96605,990,1103151,1,96610.0,96615.0,96605.0,96610.0,44,97
2019-04-29 13:52:15,buy,38,97150,-2198,1100953,0,97145.0,97155.0,97145.0,97155.0,136,425
2019-04-29 16:40:16,buy,38,97075,-2238,1098715,0,97070.0,97075.0,97070.0,97070.0,30,199
2019-04-30 16:55:32,buy,38,97170,-2238,1096477,0,97170.0,97180.0,97170.0,97170.0,72,299
2019-05-02 11:25:21,sell,38,96165,-2220,1094257,0,96245.0,96260.0,96245.0,96250.0,50,244
2019-05-02 14:12:21,buy,38,96305,-2198,1092059,0,96230.0,96235.0,96225.0,96235.0,14,62
2019-05-02 16:57:00,buy,19,96210,2,1092061,1,96205.0,96210.0,96205.0,96205.0,12,33
2019-05-02 17:00:01,buy,19,96170,154,1092215,1,96175.0,96185.0,96175.0,96175.0,43,196
2019-05-06 16:57:00,sell,19,95530,-46,1092169,0,95530.0,95530.0,95525.0,95525.0,8,13
2019-05-06 17:00:01,sell,19,95535,-27,1092142,0,95545.0,95560.0,95545.0,95545.0,125,540
2019-05-08 16:57:00,sell,19,96220,-331,1091811,0,96220.0,96225.0,96215.0,96215.0,13,20
2019-05-08 17:00:01,sell,19,96215,-350,1091461,0,96215.0,96230.0,96210.0,96225.0,148,523
2019-05-15 11:36:02,sell,38,91280,-2236,1089225,0,91285.0,91295.0,91275.0,91275.0,288,881
2019-05-15 14:51:16,buy,38,91925,-2218,1087007,0,91880.0,91885.0,91880.0,91880.0,11,20
2019-05-15 16:57:00,buy,19,91570,1058,1088065,1,91565.0,91570.0,91555.0,91560.0,142,717
2019-05-15 17:00:01,buy,19,91580,1020,1089085,1,91580.0,91590.0,91580.0,91580.0,67,270
2019-05-17 14:58:16,sell,38,90655,744,1089829,1,90695.0,90705.0,90685.0,90685.0,137,512
2019-05-17 16:57:00,buy,9,90165,756,1090585,1,90160.0,90160.0,90150.0,90155.0,30,90
2019-05-17 17:00:01,buy,9,90165,756,1091341,1,90175.0,90185.0,90175.0,90180.0,39,150
2019-05-23 16:57:00,buy,19,94150,1077,1092418,1,94145.0,94150.0,94145.0,94145.0,15,54
2019-05-23 17:00:01,buy,19,94215,830,1093248,1,94205.0,94205.0,94195.0,94205.0,61,181
2019-05-27 15:37:42,sell,38,94975,820,1094068,1,94980.0,94990.0,94980.0,94980.0,22,32
2019-05-28 11:29:08,buy,38,95475,-2218,1091850,0,95445.0,95450.0,95440.0,95445.0,95,339
2019-05-28 16:57:00,sell,9,96415,576,1092426,1,96415.0,96415.0,96400.0,96405.0,105,296
2019-05-28 17:00:01,sell,9,96380,513,1092939,1,96395.0,96400.0,96385.0,96395.0,131,308
2019-05-30 16:57:00,sell,9,97765,1161,1094100,1,97765.0,97770.0,97755.0,97770.0,97,370
2019-05-30 17:00:01,sell,9,97765,1161,1095261,1,97760.0,97760.0,97755.0,97755.0,36,110
2019-06-03 11:50:21,sell,38,97215,-2334,1092927,0,97310.0,97315.0,97305.0,97310.0,64,330
