Date;Tipo;Volume;Price;SL;TP;Saldo;Price Vol;Scaled Price Return;Retorno;Dummy
2018.01.02 16:57:00;sell;19;78310;77440;80340;1002206;0,0001;-0,028285311;2206;1
2018.01.02 17:00:01;sell;19;78310;77440;80340;1004412;0,0000;-0,032808644;2206;1
2018.01.04 16:57:00;sell;19;79045;78730;81630;1004499;0,0094;0,454192378;87;1
2018.01.04 17:00:01;sell;19;79160;78730;81630;1005023;0,0015;0,042680273;524;1
2018.01.08 11:34:21;buy;38;79400;79390;76490;1002747;0,0030;0,124504574;-2276;0
2018.01.08 16:57:00;sell;19;79765;79275;82175;1003499;0,0046;0,205715376;752;1
2018.01.08 17:00:01;sell;19;79760;79275;82175;1004232;-0,0001;-0,036061144;733;1
2018.01.10 16:57:00;sell;19;78840;78525;81425;1004319;-0,0115;-0,631306279;87;1
2018.01.10 17:00:01;sell;19;78840;78525;81425;1004406;0,0000;-0,032808644;87;1
2018.01.12 16:57:00;buy;19;79465;79820;76920;1004675;0,0079;0,378523983;269;1
2018.01.12 17:00:01;buy;19;79475;79820;76920;1004906;0,0001;-0,026279084;231;1
2018.01.16 16:57:00;sell;19;80425;79955;82855;1005582;0,0120;0,587421437;676;1
2018.01.16 17:00:01;sell;19;80435;79955;82855;1006296;0,0001;-0,026357025;714;1
2018.01.18 12:36:43;buy;38;81655;81645;78745;1004020;0,0152;0,754190974;-2276;0
2018.01.19 15:50:29;buy;38;81540;81535;78635;1001782;-0,0014;-0,105884651;-2238;0
2018.01.22 13:27:32;buy;38;81595;81590;78690;999564;0,0007;0,002190042;-2218;0
2018.01.22 16:57:00;sell;19;81725;81430;84330;999585;0,0016;0,049859762;21;1
2018.01.22 17:00:01;sell;19;81765;81430;84330;999758;0,0005;-0,007412673;173;1
2018.01.24 16:57:00;sell;19;83665;81645;84545;1006324;0,0232;1,172909834;6566;1
2018.01.24 17:00:01;sell;19;83570;81645;84545;1012529;-0,0011;-0,091725497;6205;1
2018.01.30 16:57:00;buy;19;84280;84555;81655;1012504;0,0085;0,408017866;-25;0
2018.01.30 17:00:01;buy;19;84380;84555;81655;1012099;0,0012;0,028756547;-405;0
2018.02.01 16:57:00;sell;19;85905;85820;88720;1011342;0,0181;0,904947848;-757;0
2018.02.01 17:00:01;sell;19;85870;85820;88720;1010452;-0,0004;-0,053948857;-890;0
2018.02.08 16:57:00;buy;19;81815;83160;80260;1014463;-0,0472;-2,483051617;4011;1
2018.02.08 17:00:01;buy;19;81820;83160;80260;1018455;0,0001;-0,029637639;3992;1
2018.02.16 16:57:00;sell;19;85070;84710;87610;1018713;0,0397;2,028218173;258;1
2018.02.16 17:00:01;sell;19;85150;84710;87610;1019275;0,0009;0,01598613;562;1
2018.02.20 16:57:00;sell;19;86670;85600;88500;1022241;0,0179;0,893421034;2966;1
2018.02.20 17:00:01;sell;19;86675;85600;88500;1025226;0,0001;-0,02981527;2985;1
2018.02.22 15:21:19;sell;38;87360;87360;90260;1023006;0,0079;0,377259921;-2220;0
2018.02.23 14:40:16;buy;38;87620;88015;85115;1023808;0,0030;0,121617377;802;1
2018.02.26 16:57:00;buy;19;88350;88760;85860;1024276;0,0083;0,399485516;468;1
2018.02.26 17:00:01;buy;19;88430;88760;85860;1024440;0,0009;0,014174621;164;1
2018.02.28 11:41:32;sell;38;87515;87520;90420;1022182;-0,0103;-0,569693588;-2258;0
2018.02.28 16:57:00;buy;19;86825;87125;84225;1022232;-0,0079;-0,441905696;50;1
